k,hidden,mode,wall_time_s,busy_fraction,kernel_time_fraction,peak_vram_nvml_mib,peak_vram_torch_mib,energy_j,effective_sample_hz
2,16,sequential,0.4351,1.0,0.0486,820,64,29.3,34.5
2,16,vectorised,0.4841,1.0,0.0357,820,64,30.16,33.0
4,16,sequential,0.9026,1.0,0.0471,820,64,53.57,33.2
4,16,vectorised,0.6103,1.0,0.0364,820,64,35.67,32.8
8,16,sequential,1.9261,1.0,0.0439,820,64,116.78,32.2
8,16,vectorised,0.9765,1.0,0.0322,820,64,59.6,32.8
16,16,sequential,4.0223,1.0,0.0419,820,64,245.26,32.1
16,16,vectorised,1.4085,1.0,0.036,820,65,84.22,31.9
2,128,sequential,0.5293,1.0,0.0382,820,64,28.66,34.0
2,128,vectorised,0.5872,1.0,0.0312,820,65,34.51,32.4
4,128,sequential,1.0171,1.0,0.0395,820,64,65.27,32.4
4,128,vectorised,0.587,1.0,0.0395,820,65,35.99,32.4
8,128,sequential,1.6238,1.0,0.0495,820,64,97.77,32.0
8,128,vectorised,0.8898,1.0,0.0368,820,65,54.71,32.6
16,128,sequential,3.7125,1.0,0.0431,820,65,228.45,32.1
16,128,vectorised,1.2858,1.0,0.0406,822,66,80.32,32.7
2,1024,sequential,0.475,1.0,0.0453,822,65,31.03,33.7
2,1024,vectorised,0.5265,1.0,0.051,822,66,29.04,34.2
4,1024,sequential,0.9648,1.0,0.0443,822,65,64.31,33.2
4,1024,vectorised,0.6419,1.0,0.0489,824,68,46.08,32.7
8,1024,sequential,1.9222,1.0,0.0443,824,66,126.03,32.3
8,1024,vectorised,0.857,1.0,0.0506,844,71,59.78,32.7
16,1024,sequential,3.7488,1.0,0.0453,844,67,303.0,32.3
16,1024,vectorised,1.2502,1.0,0.0543,844,77,89.07,32.8
